Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
1818	0.3988823305	86.98461416	3.01539	5.53234570525726	1.83269950233006
1820	0.3993568886	86.98901943	3.01098	5.52780143646562	1.83387836960085
1822	0.3998620774	86.99341477	3.00659	5.52327256222147	1.8350535944249
1824	0.4003967265	87.00180067	2.9982	5.51657081494433	1.83795809373492
1826	0.4009706112	87.00617648	2.99382	5.51205773436947	1.83914342642719
1828	0.4015429544	87.01054138	2.98945999999999	5.50755998678749	1.84032503538016
1830	0.4020994869	87.01489649	2.9851	5.50306668613172	1.84151157571023
1832	0.4026566544	87.01924234	2.98076	5.49858868163905	1.84269434090229
1834	0.4032247708	87.02357838	2.97642	5.49411510126171	1.84388203176379
1836	0.4037820074	87.02790432	2.9721	5.48965678030859	1.84506589565446
1838	0.4043375294	87.03222098	2.96778	5.48520286072813	1.84625467923074
1840	0.4048636473	87.03652426	2.96348	5.48076416392405	1.84743958356864
1842	0.4053899376	87.0408157	2.95918	5.47632984581759	1.84862940133004
1844	0.4058944349	87.04509625	2.95489999999999	5.47191071393076	1.84981528715021
1846	0.4063982322	87.04936737	2.95063	5.46750134060792	1.85100163557289
1848	0.4068874064	87.05362898	2.94637	5.4631017111037	1.85218843156914
1850	0.4073721661	87.05788109	2.94212	5.45871181069284	1.85337566002035
1852	0.40784881	87.06212375	2.93788000000001	5.45433162466976	1.85456330571802
1854	0.4083011394	87.06635699	2.93364	5.44995574970243	1.85575584425622
1856	0.4087495707	87.07058048	2.92941999999999	5.44559495186653	1.8569442901614
1858	0.4092705488	87.07879427	2.92121	5.43909217251632	1.8599416691501
1860	0.4097693055	87.08299842	2.917	5.43474670595848	1.86114008778218
1862	0.4102658615	87.08719339	2.91280999999999	5.43041625569012	1.86233432512373
1864	0.4107480525	87.09137908	2.90862	5.42609006444613	1.86353345786491
1866	0.4112112903	87.09555551	2.90443999999999	5.42177349069023	1.86473292987397
1868	0.4116709199	87.09972256	2.90028	5.4174718791055	1.86592813746768
1870	0.4120874507	87.10387621	2.89612	5.41317449318005	1.86712822823299
1872	0.4124931932	87.10801946	2.89198	5.40889203346852	1.86832399862256
1874	0.4128906284	87.11215306	2.88785	5.40461912621098	1.86952002014486
1876	0.4132790681	87.11627775	2.88372	5.40035041138402	1.87072091189329
1878	0.4136615294	87.12039297	2.87961	5.39609656901961	1.87191739851127
1880	0.4140619802	87.1244992	2.8755	5.39184689701736	1.87311874637202
1882	0.4144547328	87.12859652	2.87139999999999	5.38760672648111	1.87432030347042
1884	0.4148714317	87.13268507	2.86731	5.38337604299544	1.87552205314643
1886	0.4152552055	87.13676331	2.86324	5.37916016060495	1.87671928311662
1888	0.4156964439	87.14083181	2.85917000000001	5.37494840464132	1.87792135551894
1890	0.4161258711	87.14489076	2.85511	5.37074609260371	1.87912356994548
1892	0.4165999098	87.1529411	2.84706	5.36442699044008	1.882221662924
1894	0.4171544189	87.15698241	2.84302	5.36024488414763	1.88342897324639
1896	0.4177122258	87.16101476	2.83899	5.3560721771965	1.88463638090579
1898	0.418283815	87.1650382	2.83496	5.35190355263387	1.88584865215116
1900	0.41885661	87.16904999	2.83095	5.34774960489813	1.88705621453883
1902	0.4194144215	87.17305186	2.82695	5.3436050136787	1.88826382191019
1904	0.4199944389	87.17704419	2.82295999999999	5.33946976474208	1.88947145662132
1908	0.421119521	87.18500224	2.815	5.33122195115998	1.89189158201575
1912	0.4222606451	87.19292551	2.80707	5.32300607094021	1.89431652176622
1916	0.4233843232	87.20081481	2.79919	5.31483257552651	1.8967364168334
1920	0.4244505963	87.20866839	2.79133	5.30668553536176	1.89916580511888
1924	0.4255284072	87.22048759	2.77951	5.29647299245053	1.90357578030329
1928	0.4267289139	87.2282726	2.77173000000001	5.28840232654524	1.90601426506034
1932	0.4278646893	87.2360188	2.76398	5.28036308932283	1.90845709283376
1936	0.4288969808	87.24372483	2.75628	5.27236565530846	1.91089411501287
1940	0.429903394	87.25139724	2.7486	5.26439421348971	1.9133402868826
1944	0.4308810211	87.25903673	2.74096	5.25645913225232	1.91578543191461
1948	0.4318291894	87.26664304	2.73336	5.24856030060875	1.91822939385235
